Date,DBE US Equity,IAU US Equity,SLV US Equity,AIA US Equity,VPL US Equity,VGK US Equity,VWO US Equity,VXUS US Equity,RWO US Equity,VOO US Equity,VO US Equity,VB US Equity,SCHH US Equity,EMLC US Equity,AGG US Equity
2003-09-26,,,,,,,,,,,,,,,57.3181
2003-09-29,,,,,,,,,,,,,,,57.1614
2003-09-30,,,,,,,,,,,,,,,57.4579
2003-10-01,,,,,,,,,,,,,,,57.43
2003-10-02,,,,,,,,,,,,,,,57.3405
2003-10-03,,,,,,,,,,,,,,,56.9264
2003-10-06,,,,,,,,,,,,,,,57.0104
2003-10-07,,,,,,,,,,,,,,,56.8146
2003-10-08,,,,,,,,,,,,,,,56.9544
2003-10-09,,,,,,,,,,,,,,,56.753
2003-10-10,,,,,,,,,,,,,,,57.0663
2003-10-13,,,,,,,,,,,,,,,56.8146
2003-10-14,,,,,,,,,,,,,,,56.7027
2003-10-15,,,,,,,,,,,,,,,56.5628
2003-10-16,,,,,,,,,,,,,,,56.4117
2003-10-17,,,,,,,,,,,,,,,56.6803
2003-10-20,,,,,,,,,,,,,,,56.6467
2003-10-21,,,,,,,,,,,,,,,56.7586
2003-10-22,,,,,,,,,,,,,,,57.0104
2003-10-23,,,,,,,,,,,,,,,56.8705
2003-10-24,,,,,,,,,,,,,,,57.1502
2003-10-27,,,,,,,,,,,,,,,57.0383
2003-10-28,,,,,,,,,,,,,,,57.2621
2003-10-29,,,,,,,,,,,,,,,57.0104
2003-10-30,,,,,,,,,,,,,,,57.0104
2003-10-31,,,,,,,,,,,,,,,56.9209
2003-11-03,,,,,,,,,,,,,,,56.819
2003-11-04,,,,,,,,,,,,,,,56.9313
2003-11-05,,,,,,,,,,,,,,,56.9313
2003-11-06,,,,,,,,,,,,,,,56.6225
2003-11-07,,,,,,,,,,,,,,,56.6506
2003-11-10,,,,,,,,,,,,,,,56.7573
2003-11-11,,,,,,,,,,,,,,,56.6562
2003-11-12,,,,,,,,,,,,,,,56.7629
2003-11-13,,,,,,,,,,,,,,,57.1784
2003-11-14,,,,,,,,,,,,,,,57.2233
2003-11-17,,,,,,,,,,,,,,,57.4647
2003-11-18,,,,,,,,,,,,,,,57.4366
2003-11-19,,,,,,,,,,,,,,,57.1671
2003-11-20,,,,,,,,,,,,,,,57.3636
2003-11-21,,,,,,,,,,,,,,,57.4254
2003-11-24,,,,,,,,,,,,,,,57.184
2003-11-25,,,,,,,,,,,,,,,57.4086
2003-11-26,,,,,,,,,,,,,,,57.2008
2003-11-28,,,,,,,,,,,,,,,57.111
2003-12-01,,,,,,,,,,,,,,,56.9544
2003-12-02,,,,,,,,,,,,,,,56.9375
2003-12-03,,,,,,,,,,,,,,,56.9938
2003-12-04,,,,,,,,,,,,,,,57.0782
2003-12-05,,,,,,,,,,,,,,,57.3653
2003-12-08,,,,,,,,,,,,,,,57.3653
2003-12-09,,,,,,,,,,,,,,,57.0444
2003-12-10,,,,,,,,,,,,,,,57.2696
2003-12-11,,,,,,,,,,,,,,,57.4723
2003-12-12,,,,,,,,,,,,,,,57.5061
2003-12-15,,,,,,,,,,,,,,,57.4723
2003-12-16,,,,,,,,,,,,,,,57.5061
2003-12-17,,,,,,,,,,,,,,,57.6468
2003-12-18,,,,,,,,,,,,,,,57.7312
2003-12-19,,,,,,,,,,,,,,,57.7594
2003-12-22,,,,,,,,,,,,,,,57.7312
2003-12-23,,,,,,,,,,,,,,,57.5061
2003-12-24,,,,,,,,,,,,,,,57.5511
2003-12-26,,,,,,,,,,,,,,,57.8382
2003-12-29,,,,,,,,,,,,,,,57.6975
2003-12-30,,,,,,,,,,,,,,,57.5905
2003-12-31,,,,,,,,,,,,,,,57.6701
2004-01-02,,,,,,,,,,,,,,,57.3426
2004-01-05,,,,,,,,,,,,,,,57.4104
2004-01-06,,,,,,,,,,,,,,,57.6701
2004-01-07,,,,,,,,,,,,,,,57.7999
2004-01-08,,,,,,,,,,,,,,,57.783
2004-01-09,,,,,,,,,,,,,,,58.2629
2004-01-12,,,,,,,,,,,,,,,58.0991
2004-01-13,,,,,,,,,,,,,,,58.2346
2004-01-14,,,,,,,,,,,,,,,58.229
2004-01-15,,,,,,,,,,,,,,,58.3024
2004-01-16,,,,,,,,,,,,,,,58.2572
2004-01-20,,,,,,,,,,,,,,,58.2064
2004-01-21,,,,,,,,,,,,,,,58.2459
2004-01-22,,,,,,,,,,,,,,,58.3475
2004-01-23,,,,,,,,,,,,,,,58.2064
2004-01-26,,,,,,,,,,,,,,,57.9806
2004-01-27,,,,,,,,,,,,,,,58.0653
2004-01-28,,,,,,,,,,,,,,,57.9467
2004-01-29,,,,,,,,,,,,,,,57.8112
2004-01-30,,,,,,,,,,,38.1571,37.8803,,,57.9241
2004-02-02,,,,,,,,,,,38.4354,38.0349,,,57.9398
2004-02-03,,,,,,,,,,,38.2808,37.9344,,,58.0983
2004-02-04,,,,,,,,,,,37.8555,37.1459,,,58.104
2004-02-05,,,,,,,,,,,37.9561,37.2618,,,57.9398
2004-02-06,,,,,,,,,,,38.6133,38.1509,,,58.1776
2004-02-09,,,,,,,,,,,38.6751,38.4137,,,58.2172
2004-02-10,,,,,,,,,,,38.7679,38.6302,,,58.0927
2004-02-11,,,,,,,,,,,39.2009,39.0785,,,58.3191
2004-02-12,,,,,,,,,,,39.1545,38.8853,,,58.3248
2004-02-13,,,,,,,,,,,38.7525,38.4987,,,58.5852
2004-02-17,,,,,,,,,,,39.3092,38.9239,,,58.4437
2004-02-18,,,,,,,,,,,39.0463,38.8853,,,58.3984
2004-02-19,,,,,,,,,,,38.8916,38.808,,,58.4606
2004-02-20,,,,,,,,,,,38.6597,38.2204,,,58.2795
2004-02-23,,,,,,,,,,,38.3427,37.5556,,,58.438
2004-02-24,,,,,,,,,,,38.2731,37.6329,,,58.387
2004-02-25,,,,,,,,,,,38.6133,37.8416,,,58.5229
2004-02-26,,,,,,,,,,,38.8298,38.2668,,,58.4267
2004-02-27,,,,,,,,,,,39.1777,38.6534,,,58.5852
2004-03-01,,,,,,,,,,,39.5875,39.0322,,,58.6114
2004-03-02,,,,,,,,,,,39.4329,39.1172,,,58.4071
2004-03-03,,,,,,,,,,,39.3323,39.0785,,,58.3447
2004-03-04,,,,,,,,,,,39.5875,39.2718,,,58.4866
2004-03-05,,,,,,,,,,,39.7963,39.612,,,58.9178
2004-03-08,,,,,,,,,,,39.2396,39.1095,,,59.1164
2004-03-09,,,,,,,,,,,38.9226,38.6379,,,59.2015
2004-03-10,,,,,,,,,,,38.2344,37.8803,,,59.1334
2004-03-11,,,,,,,,,,,37.8246,37.687,,,59.264
2004-03-12,,,,,,,,,,,38.2885,38.1431,,,59.0824
2004-03-15,,,,,,,,,,,37.8092,37.4706,,,59.0937
2004-03-16,,,,,,,,,,,37.9406,37.5324,,,59.2356
2004-03-17,,,,,,,,,,,38.536,38.2282,,,59.2072
2004-03-18,,,,,,,,,,,38.2731,37.8416,,,59.1505
2004-03-19,,,,,,,,,,,38.1571,37.8262,,,59.088
2004-03-22,,,,,,,,,,,37.5385,37.0299,,,59.2413
2004-03-23,,,,,,,,,,,37.6391,37.2,,,59.2469
2004-03-24,,,,,,,,,,,37.3762,37.1381,,,59.281
2004-03-25,,,,,,,,,,,38.0411,37.602,,,59.2469
2004-03-26,,,,,,,,,,,38.2112,37.8571,,,59.0427
2004-03-29,,,,,,,,,,,38.5282,38.2745,,,58.9348
2004-03-30,,,,,,,,,,,38.9071,38.8157,,,58.7022
2004-03-31,,,,,,,,,,,39.0772,38.9626,,,58.9859
2004-04-01,,,,,,,,,,,39.1545,39.1945,,,59.0141
2004-04-02,,,,,,,,,,,39.5488,39.7511,,,58.4737
2004-04-05,,,,,,,,,,,39.5875,39.6893,,,58.1153
2004-04-06,,,,,,,,,,,39.4715,39.581,,,58.2803
2004-04-07,,,,,,,,,,,39.3633,39.38,,,58.1381
2004-04-08,,,,,,,,,,,39.3323,39.4883,,,58.1722
2004-04-12,,,,,,,,,,,39.3323,39.4728,,,58.1551
2004-04-13,,,,,,,,,,,38.7061,38.5915,,,58.0527
2004-04-14,,,,,,,,,,,38.5437,38.2127,,,57.8821
2004-04-15,,,,,,,,,,,38.5128,38.2668,,,57.7967
2004-04-16,,,,,,,,,,,38.6751,38.5838,,,57.956
2004-04-19,,,,,,,,,,,38.5282,38.7848,,,57.8821
2004-04-20,,,,,,,,,,,38.2885,38.406,,,57.6943
2004-04-21,,,,,,,,,,,38.4586,38.2977,,,57.5578
2004-04-22,,,,,,,,,,,39.1081,39.1095,,,57.7683
2004-04-23,,,,,,,,,,,39.054,38.9548,,,57.6545
2004-04-26,,,,,,,,,,,39.0076,38.9548,,,57.6375
2004-04-27,,,,,,,,,,,38.9071,38.9858,,,57.7797
2004-04-28,,,,,,,,,,,38.3736,38.1509,,,57.5123
2004-04-29,,,,,,,,,,,37.7009,37.602,,,57.3473
2004-04-30,,,,,,,,,,,37.4148,37.1304,,,57.3303
2004-05-03,,,,,,,,,,,37.6545,37.3469,,,57.2446
2004-05-04,,,,,,,,,,,37.8401,37.9808,,,57.3473
2004-05-05,,,,,,,,,,,38.0102,37.9035,,,57.2732
2004-05-06,,,,,,,,,,,37.4921,37.3159,,,57.0963
2004-05-07,,,,,,,,,,,37.0282,36.4501,,,56.6115
2004-05-10,,,,,,,,,,,36.2318,35.7312,,,56.5259
2004-05-11,,,,,,,,,,,36.6958,36.28,,,56.6685
2004-05-12,,,,,,,,,,,36.8195,36.3805,,,56.5887
2004-05-13,,,,,,,,,,,36.8504,36.2337,,,56.5773
2004-05-14,,,,,,,,,,,36.9123,36.079,,,56.5887
2004-05-17,,,,,,,,,,,36.286,35.6384,,,56.8739
2004-05-18,,,,,,,,,,,36.603,35.9631,,,56.9024
2004-05-19,,,,,,,,,,,36.8272,35.8935,,,56.8054
2004-05-20,,,,,,,,,,,36.572,35.9863,,,56.9594
2004-05-21,,,,,,,,,,,36.7499,36.2723,,,56.8682
2004-05-24,,,,,,,,,,,37.0592,36.6588,,,56.9138
2004-05-25,,,,,,,,,,,37.7318,37.5015,,,56.8967
2004-05-26,,,,,,,,,,,37.9174,37.6561,,,57.0393
2004-05-27,,,,,,,,,,,38.103,37.7025,,,57.3131
2004-05-28,,,,,,,,,,,38.3813,37.9112,,,57.1135
2004-06-01,,,,,,,,,,,38.3117,38.089,,,57.0485
2004-06-02,,,,,,,,,,,38.505,38.089,,,57.0714
2004-06-03,,,,,,,,,,,38.1648,37.5711,,,57.0485
2004-06-04,,,,,,,,,,,38.3968,37.7721,,,56.9283
2004-06-07,,,,,,,,,,,38.7988,38.375,,,56.9856
2004-06-08,,,,,,,,,,,38.8607,38.4524,,,56.8482
2004-06-09,,,,,,,,,,,38.5592,37.9885,,,56.8654
2004-06-10,,,,,,,,,,,38.5437,37.8262,,,56.8082
2004-06-14,,,,,,,,,,,38.1571,37.401,,,56.648
2004-06-15,,,,,,,,,,,38.4045,37.8262,,,57.1286
2004-06-16,,,,,,,,,,,,37.8726,,,57.0142
2004-06-17,,,,,,,,,,,38.4664,38.0117,,,57.0771
2004-06-18,,,,,,,,,,,38.5978,38.1122,,,57.163
2004-06-21,,,,,,,,,,,38.5823,38.2282,,,57.2373
2004-06-22,,,,,,,,,,,38.7525,38.2436,,,57.2144
2004-06-23,,,,,,,,,,,39.0308,38.7461,,,57.1687
2004-06-24,,,,,,,,,,,39.2782,38.6534,,,57.3861
2004-06-25,,,,,,,,,,,39.139,39.0244,,,57.3689
2004-06-28,,,,,,,,,,,39.2086,38.7693,,,57.1801
2004-06-29,,,,,,,,,,,,39.0322,,,57.0771
2004-06-30,,,,,,,,,,,39.1456,39.3414,,,57.5292
2004-07-01,,,,,,,,,,,39.0076,38.8621,,,57.6023
2004-07-02,,,,,,,,,,,38.8607,38.7925,,,57.9697
2004-07-06,,,,,,,,,,,38.4122,38.3828,,,57.9295
2004-07-07,,,,,,,,,,,38.3968,38.3364,,,57.895
2004-07-08,,,,,,,,,,,38.0798,37.7179,,,57.9582
2004-07-09,,,,,,,,,,,38.0102,37.7875,,,57.786
