Date,DBE US Equity,IAU US Equity,SLV US Equity,AIA US Equity,VPL US Equity,VGK US Equity,VWO US Equity,VXUS US Equity,RWO US Equity,VOO US Equity,VO US Equity,VB US Equity,SCHH US Equity,EMLC US Equity,AGG US Equity
2003-09-26,,,,,,,,,,,,,,,102.45
2003-09-29,,,,,,,,,,,,,,,102.17
2003-09-30,,,,,,,,,,,,,,,102.7
2003-10-01,,,,,,,,,,,,,,,102.65
2003-10-02,,,,,,,,,,,,,,,102.49
2003-10-03,,,,,,,,,,,,,,,101.75
2003-10-06,,,,,,,,,,,,,,,101.9
2003-10-07,,,,,,,,,,,,,,,101.55
2003-10-08,,,,,,,,,,,,,,,101.8
2003-10-09,,,,,,,,,,,,,,,101.44
2003-10-10,,,,,,,,,,,,,,,102.0
2003-10-13,,,,,,,,,,,,,,,101.55
2003-10-14,,,,,,,,,,,,,,,101.35
2003-10-15,,,,,,,,,,,,,,,101.1
2003-10-16,,,,,,,,,,,,,,,100.83
2003-10-17,,,,,,,,,,,,,,,101.31
2003-10-20,,,,,,,,,,,,,,,101.25
2003-10-21,,,,,,,,,,,,,,,101.45
2003-10-22,,,,,,,,,,,,,,,101.9
2003-10-23,,,,,,,,,,,,,,,101.65
2003-10-24,,,,,,,,,,,,,,,102.15
2003-10-27,,,,,,,,,,,,,,,101.95
2003-10-28,,,,,,,,,,,,,,,102.35
2003-10-29,,,,,,,,,,,,,,,101.9
2003-10-30,,,,,,,,,,,,,,,101.9
2003-10-31,,,,,,,,,,,,,,,101.74
2003-11-03,,,,,,,,,,,,,,,101.5586
2003-11-04,,,,,,,,,,,,,,,101.7593
2003-11-05,,,,,,,,,,,,,,,101.7593
2003-11-06,,,,,,,,,,,,,,,101.2074
2003-11-07,,,,,,,,,,,,,,,101.2576
2003-11-10,,,,,,,,,,,,,,,101.4482
2003-11-11,,,,,,,,,,,,,,,101.2676
2003-11-12,,,,,,,,,,,,,,,101.4583
2003-11-13,,,,,,,,,,,,,,,102.2009
2003-11-14,,,,,,,,,,,,,,,102.2812
2003-11-17,,,,,,,,,,,,,,,102.7127
2003-11-18,,,,,,,,,,,,,,,102.6625
2003-11-19,,,,,,,,,,,,,,,102.1808
2003-11-20,,,,,,,,,,,,,,,102.5321
2003-11-21,,,,,,,,,,,,,,,102.6425
2003-11-24,,,,,,,,,,,,,,,102.2109
2003-11-25,,,,,,,,,,,,,,,102.6123
2003-11-26,,,,,,,,,,,,,,,102.241
2003-11-28,,,,,,,,,,,,,,,102.0805
2003-12-01,,,,,,,,,,,,,,,101.8013
2003-12-02,,,,,,,,,,,,,,,101.7711
2003-12-03,,,,,,,,,,,,,,,101.8718
2003-12-04,,,,,,,,,,,,,,,102.0227
2003-12-05,,,,,,,,,,,,,,,102.5359
2003-12-08,,,,,,,,,,,,,,,102.5359
2003-12-09,,,,,,,,,,,,,,,101.9623
2003-12-10,,,,,,,,,,,,,,,102.3648
2003-12-11,,,,,,,,,,,,,,,102.7271
2003-12-12,,,,,,,,,,,,,,,102.7874
2003-12-15,,,,,,,,,,,,,,,102.7271
2003-12-16,,,,,,,,,,,,,,,102.7874
2003-12-17,,,,,,,,,,,,,,,103.039
2003-12-18,,,,,,,,,,,,,,,103.1899
2003-12-19,,,,,,,,,,,,,,,103.2402
2003-12-22,,,,,,,,,,,,,,,103.1899
2003-12-23,,,,,,,,,,,,,,,102.7874
