Date,KOSPI Index,M1WO Index,M1EF Index,KBPMABIN Index,BTSYTRUH Index,JPEIGLBL Index,LGCPTRUU Index,RUGL Index,BCOMTR Index,BCOMGCTR Index
2011-01-03,2070.08,3144.21,441.67,182.03,480.3136,525.12,196.2308,2936.09,326.3951,366.9905
2011-01-04,2085.14,3147.51,442.26,181.99,479.96,528.55,196.1033,2920.48,321.5105,355.6178
2011-01-05,2082.55,3137.59,440.72,181.94,478.3874,526.63,194.0989,2922.98,322.9517,354.3039
2011-01-06,2077.61,3134.38,438.45,181.66,477.8845,525.87,194.0285,2908.84,319.2964,353.7896
2011-01-07,2086.2,3128.9,435.47,181.66,478.638,525.46,194.48,2903.13,317.1871,353.0689
2011-01-10,2080.81,3114.81,431.34,181.73,478.7424,524.89,194.255,2889.06,318.8961,354.4141
2011-01-11,2088.32,3131.01,433.98,181.75,478.4961,525.76,193.9075,2889.62,322.2441,357.0559
2011-01-12,2094.95,3170.78,441.54,182.01,477.8809,526.68,194.4152,2918.34,326.7366,357.4277
2011-01-13,2089.48,3187.62,441.53,181.65,478.4104,527.26,196.1149,2937.84,325.2716,357.7383
2011-01-14,2108.17,3196.58,440.4,181.63,478.1981,527.05,196.0386,2940.32,324.8577,350.8885
2011-01-17,2099.85,3192.89,438.44,181.6,477.794,,195.8373,2937.03,,
2011-01-18,2096.48,3214.3,440.14,181.74,477.0504,526.29,196.1295,2960.37,325.6754,352.8519
2011-01-19,2115.69,3196.58,440.96,181.39,477.3711,525.12,196.9976,2948.91,325.1815,353.3943
2011-01-20,2106.66,3163.08,434.12,181.38,476.8142,523.1,195.4594,2913.78,323.4515,347.2398
2011-01-21,2069.92,3181.31,431.67,181.35,477.3528,523.26,196.7907,2917.89,325.3498,345.8246
2011-01-24,2082.16,3204.94,431.71,181.21,477.543,524.23,197.5432,2934.43,323.2712,346.7048
2011-01-25,2086.67,3201.91,431.44,181.2,477.7643,524.59,197.9663,2952.16,317.7322,343.5638
2011-01-26,2110.46,3220.38,433.97,181.33,476.9376,524.06,197.3873,2959.32,322.4872,343.7456
2011-01-27,2115.01,3227.36,433.73,181.44,476.9286,522.84,197.6956,2971.77,320.4329,339.9606
2011-01-28,2107.87,3180.99,427.83,181.41,477.6058,519.15,197.6449,2935.7,324.1105,345.6032
2011-01-31,2069.73,3195.54,425.16,181.29,477.6032,519.91,197.9631,2944.4,329.5602,343.753
2011-02-01,2072.03,3249.76,429.71,181.32,477.0145,522.7,198.2181,2966.95,330.7345,345.2485
2011-02-02,,3256.44,431.45,,476.9535,523.45,198.1075,2977.53,332.2514,343.1377
