Date,AAPL US Equity,MSFT US Equity,GOOGL US Equity,GOOG US Equity,AMZN US Equity,TSLA US Equity,FB US Equity,BRK/B US Equity,NVDA US Equity,V US Equity,UNH US Equity,JNJ US Equity,JPM US Equity,PG US Equity,WMT US Equity,HD US Equity,BAC US Equity,MA US Equity,XOM US Equity,PFE US Equity,KO US Equity,DIS US Equity,CVX US Equity,PEP US Equity,CSCO US Equity,ADBE US Equity,ABBV US Equity,LLY US Equity,TMO US Equity,CMCSA US Equity,NKE US Equity,VZ US Equity,ABT US Equity,ACN US Equity,AVGO US Equity,ORCL US Equity,CRM US Equity,COST US Equity,INTC US Equity,WFC US Equity,MRK US Equity,DHR US Equity,PYPL US Equity,MCD US Equity,T US Equity,QCOM US Equity,NFLX US Equity,UPS US Equity,MS US Equity,SCHW US Equity,CASH
2015-07-07,-0.002475637,-0.002031968,0.008050059,0.004122615,0.001558275,-0.043249984,-0.003776396,0.011259335,-0.019015552,-0.005151167,-0.01201965,0.007305263,-0.007902326,0.020647421,0.017223178,0.009653057,-0.014868981,-0.004992511,0.004111875,0.014333209,0.020837244,0.012027569,0.005262769,0.0209647,0.005133563,0.001117388,0.004971485,0.027189437,0.004288148,0.006420104,0.013115878,0.004456137,0.00940502,0.013672175,-0.010185682,0.000247031,0.015779986,0.033437715,-0.004671052,-0.003370239,0.007616494,0.01387796,-0.002454658,0.010705349,0.004482671,-0.004923989,-0.005088476,0.008648021,-0.005938666,-0.003390753,0
2015-07-08,-0.025135212,-0.001353561,-0.01526048,-0.015722357,-0.016204967,-0.049432449,-0.018164438,-0.011186286,-0.007112257,-0.015465721,-0.016036234,-0.011694315,-0.020723497,-0.008972802,-0.009942985,-0.012534707,-0.026717039,-0.015027452,-0.010920059,-0.008335715,-0.009738107,-0.016445345,-0.018112191,-0.008221101,-0.013617394,-0.007472945,-0.013214549,-0.016821111,-0.021220914,-0.013206425,-0.018318016,-0.00257301,-0.019304516,-0.01079887,-0.036724676,-0.009758188,-0.012459882,-0.004280118,-0.013469687,-0.017939388,-0.011098424,-0.015392767,-0.053854852,-0.008716511,-0.014551536,-0.014272269,-0.006226099,-0.020825895,-0.021725858,-0.026910968,0
2015-07-09,-0.02061705,0.006308563,0.005431044,0.007421649,0.010855457,0.011542789,0.002681748,0.009812908,-0.012293159,0.00478517,0.004698433,0.006422906,0.010339824,-0.004083918,-0.003839173,0.003415154,0.01405504,0.005930603,-0.004523405,0.012183945,0.001503877,0.003553498,0.00234818,-0.010732822,-0.00296785,0.005982817,0.004572372,0.002632526,-0.002973974,0.005175751,0.001553282,-0.006894879,-0.001218851,0.001329717,-0.026670291,0.010257615,0.008180885,-0.003226244,-0.019508744,0.004515108,0.000524306,0,-0.005780363,0.006757284,-0.01156606,-0.000809149,0.023464091,0.002713359,0.008170955,0.020406831,0
2015-07-10,0.026399889,0.002019419,0.02082273,0.01798661,0.020777601,0.004757585,0.023817498,0.010648349,0.017381483,0.020225983,0.023275677,0.011418785,0.01411812,0.00358928,0.004660166,0.015328476,0.013261294,0.016835115,0.007568081,0.014659849,0.011706879,0.007239752,0.006695225,0.010108408,0.013653069,0.001490128,0.018366886,0.009217594,0.02175235,0.018851498,0.009821324,0.015868715,0.014931181,0.010482584,0.040551977,0.004469847,0.016726116,0.023183796,0.008261726,0.010397199,0.009883085,0.010557359,0.005492137,0.011941978,0.007532852,0.013965676,0.015568631,0.012561687,0.014072711,0.019998707,0
2015-07-13,0.019107963,0.02063361,0.027700736,0.030503535,0.026829033,0.01154796,0.024151693,0.011810041,0.006557674,0.015949089,0.002450337,0.007407646,0.015392639,0.011789333,0.010340269,0.015786656,0.0189769,0.009262116,0.00242942,0.013298292,0.006661419,0.013732429,0.00201129,0.017325367,0.018523116,0.01049198,0.012292966,0.005984747,0.027632709,0.008349483,0.016955714,0.004247439,0.000605145,0.017759342,-0.00509581,0.010843519,-0.001265912,0.009340509,0.019014646,0.011699125,-0.001381261,0.015459123,0.058502758,0.00796343,0.006612547,0.011097886,0.038912511,0.008220877,0.017444821,0.01930665,0
2015-07-14,-0.000384192,0.001755339,0.021542303,0.026273348,0.021713079,0.013224649,-0.004672386,-0.001911437,0.000497874,0.008308502,0.020615588,-0.004898693,0.013855185,0.001585249,-0.001218277,0.003996383,0.006445578,-0.002414128,0.008337729,0.00743826,0.012465902,-0.001695753,0.009991971,-0.000927516,0.008601776,0.00551033,0.003302058,-0.000675723,0.016978362,-0.007560713,-0.00062296,0.004440908,0.009607977,0.001887992,0.023865492,-0.000491836,0.010361336,-0.000903185,-0.002693185,0.008949056,0.005515859,0.010850094,0.00407001,0.0035485,0.006857183,0.008008801,-0.007108211,0.001126042,0.00987119,0.008920861,0
2015-07-15,0.009595401,0.003062609,-0.000376667,-0.001569579,-0.009452356,-0.009493443,0.000891663,0.010503039,-0.007055547,-0.001142162,0.006857857,0.006392996,0.002169669,0.00134124,-0.001900329,0.001906559,0.031599764,-0.000207822,-0.004220377,-0.002854921,-0.000973901,0.003810733,-0.013804838,-0.0080705,0.002849431,0.002804709,-0.000716577,-0.027180122,-0.009859547,0.008032258,-0.003924386,-0.001689859,-0.01789021,-0.007873049,-0.004394104,0.000245948,-0.006007702,-0.002086781,0.001347499,0.009213802,0.000514512,-0.007106307,0.015583335,0.002935482,-0.011165495,-0.000938661,-0.022580191,-0.007077543,-0.000251894,-0.003558158,0
2015-07-16,0.013232935,0.019478352,0.030059443,0.034439886,0.030514715,0.013363228,0.012070353,0.009143958,0.022020679,0.007824107,-0.007417407,0.006848026,0.00533354,0.001823228,0.00244127,-0.007384139,0.015157656,0.005965869,0.001811153,0.003425699,0.008476146,0.006488466,0.002543049,0.005697662,0.007441354,0.004859096,0.003433742,0.009103689,0.010375001,0.008903202,0.003924386,0.01050728,0.009286194,0.014896562,0.022371436,0.004158282,0.014745016,0.004865033,0.007047745,0.0067277,0.01025266,0.004179859,0.029421613,-0.012292487,0.012305682,0.010432675,0.165657787,0.00308062,0.005273547,0.032452887,0
2015-07-17,0.008601546,-0.000858926,0.1506454,0.148871863,0.015712537,0.029484531,0.044351257,-0.000277971,-0.005963316,0.004383715,-0.008681935,-0.010238804,-0.005042866,-0.000729488,-0.005977576,-0.002266618,0.008319899,0.002714826,-0.003625592,-0.00085629,-0.0055603,-0.001765574,-0.014177051,-0.001245166,-0.004954745,-0.005102672,0,0.002291645,-0.006684126,-0.000779062,0.004086108,-0.005030629,0.002607866,-0.009607863,-0.007750288,-0.013765016,0.005370804,0.002423669,-0.014487673,-0.00396214,0,0.000224942,-0.006232168,-0.003691772,-0.004273921,-0.003258046,-0.009020792,0.001229596,0.00724114,0.000863073,0
2015-07-20,0.018713447,0.006415661,-0.009738238,-0.014836157,0.010482946,0.027294663,0.030487637,0.00436909,-0.018608758,0.025352451,-0.009734825,0.002892925,0.000721968,-0.000607817,-0.003958418,-0.009303058,0.001104945,0.01220132,-0.010341653,0.004834963,0.003145007,0.006039698,-0.002256434,0.005472176,-0.00533604,-0.00012181,0.01150758,0.005707564,0.003085345,0.000779062,0.002921747,0.010661408,0.003202117,0.002386133,0.007305355,-0.011702044,-0.000549526,0.002480736,-0.012631488,0.001896895,0.00305673,-0.001578742,0.05276395,-9.77E-05,-0.003149269,-0.008584275,-0.037462218,-0.000100319,-0.003988626,0.005733831,0
