Date,AAPL US Equity,MSFT US Equity,GOOGL US Equity,GOOG US Equity,AMZN US Equity,TSLA US Equity,FB US Equity,BRK/B US Equity,NVDA US Equity,V US Equity,UNH US Equity,JNJ US Equity,JPM US Equity,PG US Equity,WMT US Equity,HD US Equity,BAC US Equity,MA US Equity,XOM US Equity,PFE US Equity,KO US Equity,DIS US Equity,CVX US Equity,PEP US Equity,CSCO US Equity,ADBE US Equity,ABBV US Equity,LLY US Equity,TMO US Equity,CMCSA US Equity,NKE US Equity,VZ US Equity,ABT US Equity,ACN US Equity,AVGO US Equity,ORCL US Equity,CRM US Equity,COST US Equity,INTC US Equity,WFC US Equity,MRK US Equity,DHR US Equity,PYPL US Equity,MCD US Equity,T US Equity,QCOM US Equity,NFLX US Equity,UPS US Equity,MS US Equity,SCHW US Equity
2000-01-03,0.856,36.7293,,,89.375,,,35.3,0.8958,,5.558,26.1472,25.2224,29.5514,44.751,41.749,13.6896,,19.6714,14.1891,15.3353,23.1201,18.4626,21.38,39.0739,16.279,,33.7107,12.383,11.9635,4.5522,19.5843,9.3195,,,24.8061,,31.136,26.4488,10.6332,28.2424,8.2571,,22.931,11.2032,60.4816,,38.64,37.3912,18.8434
2000-01-04,0.784,35.4886,,,81.938,,,34.08,0.8719,,5.487,25.1899,24.669,28.9827,43.0765,39.547,12.8771,,19.2946,13.6605,15.3523,24.4744,18.4626,20.837,36.8818,14.913,,32.6502,11.919,11.0678,4.3039,18.9513,9.0532,,,22.6142,,29.43,25.2137,10.1066,27.2506,7.9575,,22.461,10.5477,54.6632,,37.416,34.6214,18.5888
2000-01-05,0.795,35.8628,,,69.75,,,34.64,0.8431,,5.474,25.4559,24.5167,28.4313,42.1974,40.348,13.0184,,20.3465,13.8831,15.4883,25.4901,18.7938,20.33,36.7688,15.208,,33.068,12.022,10.7799,4.5522,19.5843,9.0366,,,21.4198,,29.933,25.4227,10.0047,28.3207,8.0463,,22.822,10.7116,52.7659,,39.181,33.3578,18.7161
2000-01-06,0.726,34.6615,,,65.563,,,36.08,0.7881,,5.674,26.2536,24.8648,29.7409,42.6579,38.427,14.1312,,21.3984,14.3839,15.5053,24.4744,19.5941,21.235,36.1586,15.332,,34.032,12.022,11.1958,4.5286,19.4849,9.3528,,,20.1598,,30.534,23.9407,10.4463,28.5557,8.1351,,22.497,10.4854,47.2427,,39.181,33.9983,18.7161
2000-01-07,0.761,35.1144,,,69.563,,,36.4,0.8013,,6.34,27.3704,25.3216,32.1188,45.8813,40.668,13.7603,,21.3356,15.3576,16.5254,24.0874,19.9391,21.815,38.283,16.077,,36.5387,12.177,10.8439,4.5286,19.341,9.4526,,,21.7086,,32.557,24.9287,10.6332,31.2964,8.2016,,23.076,10.5753,50.5946,,38.244,35.0542,19.7983
2000-01-10,0.747,35.3704,,,69.188,,,36.26,0.8276,,6.23,26.679,24.8865,31.9637,45.044,40.468,13.2834,,21.0373,15.3298,15.9984,27.7634,19.4009,21.38,39.7067,16.698,,35.0283,12.074,12.2354,4.6055,19.2382,9.386,,,24.3073,,33.235,26.0688,10.2934,30.3828,8.3681,,23.184,10.7251,53.7567,,38.64,36.2941,19.862
2000-01-11,0.709,34.4645,,,66.75,,,35.58,0.7941,,6.243,26.7676,24.2992,32.4634,44.3742,39.427,13.0007,,21.1001,15.1351,16.5424,28.0537,19.2216,21.308,38.509,15.549,,35.2211,12.177,11.1158,4.836,19.0571,9.2529,,,23.5986,,32.054,27.2658,10.1236,30.4872,8.1573,,23.727,10.5753,48.7184,,37.596,36.2941,19.9257
2000-01-12,0.667,33.342,,,63.563,,,34.9,0.7738,,6.185,26.5195,24.4515,32.2566,43.5789,39.107,13.1421,,20.9745,15.6359,16.7294,26.0705,19.1526,21.054,37.5372,15.472,,34.7069,11.867,11.5636,4.6705,18.4161,9.1144,,,22.1811,,32.01,27.7408,10.4123,31.0876,7.9353,,24.739,10.0211,46.6313,,38.82,36.572,19.1617
2000-01-13,0.74,33.9722,,,65.938,,,35.2,0.8061,,6.379,26.484,24.8213,31.7053,43.6207,39.787,13.4423,,21.4612,16.4705,16.4744,26.9412,19.3319,20.837,38.396,16.294,,34.2891,12.28,12.2194,4.7296,18.2722,9.0308,,,22.063,,33.213,27.6838,10.9899,31.2181,8.0574,,24.486,9.7814,48.2757,,39.361,36.7977,20.6259
2000-01-14,0.768,35.3704,,,64.25,,,34.02,0.8408,,6.372,26.5726,25.7132,32.2566,43.2021,39.667,14.2726,,21.0373,16.4705,16.6104,25.9738,19.2078,20.982,38.8931,16.465,,35.1247,12.074,12.4913,4.8538,18.5188,9.2315,,,22.4305,,34.328,31.3319,11.3296,30.957,8.0574,,24.658,10.066,47.3692,,39.793,38.1522,20.8806
