EQID,CURRENCY,EXC_CODE,DESCRIPTION,TYPE,CREATED_DATE,UPDATED_DATE,BLCODE
KOSPI Index,KRW,"Empty DataFrame
Columns: []
Index: []",KOSPI INDEX,Equity Index,2021-12-13 15:10:13.560792,2021-12-13 15:10:21.046610,KOSPI Index
M1WO Index,USD,"Empty DataFrame
Columns: []
Index: []",MSCI WORLD NR,Equity Index,2021-12-13 15:10:42.106627,2021-12-13 15:10:42.106627,M1WO Index
M1EF Index,USD,"Empty DataFrame
Columns: []
Index: []",MSCI EM NR,Equity Index,2021-12-13 15:10:43.590040,2021-12-13 15:10:43.590040,M1EF Index
KBPMABIN Index,KRW,"Empty DataFrame
Columns: []
Index: []",KAP All Bonds Idx,Fixed Income Index,2021-12-13 15:10:49.702985,2021-12-13 15:10:49.702985,KBPMABIN Index
BTSYTRUH Index,USD,"Empty DataFrame
Columns: []
Index: []",Global Treasury,Fixed Income Index,2021-12-13 15:10:51.272267,2021-12-13 15:10:51.272267,BTSYTRUH Index
JPEIGLBL Index,USD,"Empty DataFrame
Columns: []
Index: []",J.P. Morgan EMBI Global Total,Index,2021-12-13 15:10:52.685912,2021-12-13 15:10:52.685912,JPEIGLBL Index
LGCPTRUU Index,USD,"Empty DataFrame
Columns: []
Index: []",Corporate,Fixed Income Index,2021-12-13 15:10:54.404498,2021-12-13 15:10:54.404498,LGCPTRUU Index
RUGL Index,USD,"Empty DataFrame
Columns: []
Index: []",EPRA/NAREIT Dev TR USD,Equity Index,2021-12-13 15:10:55.940185,2021-12-13 15:10:55.940185,RUGL Index
BCOMTR Index,USD,"Empty DataFrame
Columns: []
Index: []",BBG Commodity TR,Commodity Index,2021-12-13 15:10:57.350181,2021-12-13 15:10:57.350181,BCOMTR Index
BCOMGCTR Index,USD,"Empty DataFrame
Columns: []
Index: []",BBG Gold TR,Commodity Index,2021-12-13 15:10:58.772249,2021-12-13 15:10:58.772249,BCOMGCTR Index
