EQID,CURRENCY,EXC_CODE,DESCRIPTION,TYPE,CREATED_DATE,UPDATED_DATE,BLCODE
AAPL US Equity,USD,#A,APPLE INC,Common Stock,2022-04-21 17:12:00.152604,2022-04-21 17:12:00.152604,AAPL US Equity
MSFT US Equity,USD,#A,MICROSOFT CORP,Common Stock,2022-04-21 17:12:01.655064,2022-04-21 17:12:01.655064,MSFT US Equity
GOOGL US Equity,USD,#A,ALPHABET INC-CL A,Common Stock,2022-04-21 17:12:03.137984,2022-04-21 17:12:03.137984,GOOGL US Equity
GOOG US Equity,USD,#A,ALPHABET INC-CL C,Common Stock,2022-04-21 17:12:04.508551,2022-04-21 17:12:04.508551,GOOG US Equity
AMZN US Equity,USD,#A,AMAZON.COM INC,Common Stock,2022-04-21 17:12:06.016221,2022-04-21 17:12:06.016221,AMZN US Equity
TSLA US Equity,USD,#A,TESLA INC,Common Stock,2022-04-21 17:12:07.447351,2022-04-21 17:12:07.447351,TSLA US Equity
FB US Equity,USD,#A,META PLATFORMS INC-CLASS A,Common Stock,2022-04-21 17:12:08.862214,2022-04-21 17:12:08.862214,FB US Equity
BRK/B US Equity,USD,#A,BERKSHIRE HATHAWAY INC-CL B,Common Stock,2022-04-21 17:12:10.374301,2022-04-21 17:12:10.374301,BRK/B US Equity
NVDA US Equity,USD,#A,NVIDIA CORP,Common Stock,2022-04-21 17:12:11.854496,2022-04-21 17:12:11.854496,NVDA US Equity
V US Equity,USD,#A,VISA INC-CLASS A SHARES,Common Stock,2022-04-21 17:12:13.286060,2022-04-21 17:12:13.286060,V US Equity
UNH US Equity,USD,#A,UNITEDHEALTH GROUP INC,Common Stock,2022-04-21 17:12:14.795785,2022-04-21 17:12:14.795785,UNH US Equity
JNJ US Equity,USD,#A,JOHNSON & JOHNSON,Common Stock,2022-04-21 17:12:16.217596,2022-04-21 17:12:16.217596,JNJ US Equity
JPM US Equity,USD,#A,JPMORGAN CHASE & CO,Common Stock,2022-04-21 17:12:17.773032,2022-04-21 17:12:17.773032,JPM US Equity
PG US Equity,USD,#A,PROCTER & GAMBLE CO/THE,Common Stock,2022-04-21 17:12:19.181565,2022-04-21 17:12:19.181565,PG US Equity
WMT US Equity,USD,#A,WALMART INC,Common Stock,2022-04-21 17:12:20.601967,2022-04-21 17:12:20.601967,WMT US Equity
HD US Equity,USD,#A,HOME DEPOT INC,Common Stock,2022-04-21 17:12:22.016096,2022-04-21 17:12:22.016096,HD US Equity
BAC US Equity,USD,#A,BANK OF AMERICA CORP,Common Stock,2022-04-21 17:12:23.773845,2022-04-21 17:12:23.773845,BAC US Equity
MA US Equity,USD,#A,MASTERCARD INC - A,Common Stock,2022-04-21 17:12:25.213167,2022-04-21 17:12:25.213167,MA US Equity
XOM US Equity,USD,#A,EXXON MOBIL CORP,Common Stock,2022-04-21 17:12:26.684186,2022-04-21 17:12:26.684186,XOM US Equity
PFE US Equity,USD,#A,PFIZER INC,Common Stock,2022-04-21 17:12:28.030808,2022-04-21 17:12:28.030808,PFE US Equity
KO US Equity,USD,#A,COCA-COLA CO/THE,Common Stock,2022-04-21 17:12:29.473513,2022-04-21 17:12:29.473513,KO US Equity
DIS US Equity,USD,#A,WALT DISNEY CO/THE,Common Stock,2022-04-21 17:12:30.942589,2022-04-21 17:12:30.942589,DIS US Equity
CVX US Equity,USD,#A,CHEVRON CORP,Common Stock,2022-04-21 17:12:32.346663,2022-04-21 17:12:32.346663,CVX US Equity
