EQID,CURRENCY,EXC_CODE,DESCRIPTION,TYPE,CREATED_DATE,UPDATED_DATE,BLCODE
VOO US EQUITY,USD,#A,VANGUARD S&P 500 ETF,ETP,2022-06-20 16:05:57.299558,2022-06-20 16:05:57.299558,VOO US EQUITY
VOOG US EQUITY,USD,#A,VANGUARD S&P 500 GROWTH ETF,ETP,2022-06-20 16:05:58.801629,2022-06-20 16:05:58.801629,VOOG US EQUITY
VOOV US EQUITY,USD,#A,VANGUARD S&P 500 VALUE ETF,ETP,2022-06-20 16:06:00.232755,2022-06-20 16:06:00.232755,VOOV US EQUITY
VO US EQUITY,USD,#A,VANGUARD MID-CAP ETF,ETP,2022-06-20 16:06:01.659738,2022-06-20 16:06:01.659738,VO US EQUITY
VOT US EQUITY,USD,#A,VANGUARD MID-CAP GROWTH ETF,ETP,2022-06-20 16:06:03.193849,2022-06-20 16:06:03.193849,VOT US EQUITY
VOE US EQUITY,USD,#A,VANGUARD MID-CAP VALUE ETF,ETP,2022-06-20 16:06:04.640070,2022-06-20 16:06:04.640070,VOE US EQUITY
VTWO US EQUITY,USD,#A,VANGUARD RUSSELL 2000 ETF,ETP,2022-06-20 16:06:06.085937,2022-06-20 16:06:06.085937,VTWO US EQUITY
VTWG US EQUITY,USD,#A,VANGUARD RUSSELL 2000 GROWTH,ETP,2022-06-20 16:06:07.550468,2022-06-20 16:06:07.550468,VTWG US EQUITY
VTWV US EQUITY,USD,#A,VANGUARD RUSSELL 2000 VALUE,ETP,2022-06-20 16:06:09.046035,2022-06-20 16:06:09.046035,VTWV US EQUITY
GLD US EQUITY,USD,#A,SPDR GOLD SHARES,ETP,2022-06-20 16:06:10.585128,2022-06-20 16:06:10.585128,GLD US EQUITY
SLV US EQUITY,USD,#A,ISHARES SILVER TRUST,ETP,2022-06-20 16:06:12.094240,2022-06-20 16:06:12.094240,SLV US EQUITY
CPER US EQUITY,USD,#A,UNITED STATES COPPER INDEX,ETP,2022-06-20 16:06:13.491450,2022-06-20 16:06:13.491450,CPER US EQUITY
DBO US EQUITY,USD,#A,INVESCO DB OIL FUND,ETP,2022-06-20 16:06:14.928679,2022-06-20 16:06:14.928679,DBO US EQUITY
UNG US EQUITY,USD,#A,US NATURAL GAS FUND LP,ETP,2022-06-20 16:06:16.387278,2022-06-20 16:06:16.387278,UNG US EQUITY
VNQ US EQUITY,USD,#A,VANGUARD REAL ESTATE ETF,ETP,2022-06-20 16:06:17.870509,2022-06-20 16:06:17.870509,VNQ US EQUITY
SHYG US EQUITY,USD,#A,ISHARES 0-5 YR HY CORP BOND,ETP,2022-06-20 16:06:19.456810,2022-06-20 16:06:19.456810,SHYG US EQUITY
SPSB US EQUITY,USD,#A,SPDR PORT SHRT TRM CORP BND,ETP,2022-06-20 16:06:20.952539,2022-06-20 16:06:20.952539,SPSB US EQUITY
SHY US EQUITY,USD,#A,ISHARES 1-3 YEAR TREASURY BO,ETP,2022-06-20 16:06:22.335987,2022-06-20 16:06:22.335987,SHY US EQUITY
JNK US EQUITY,USD,#A,SPDR BLOOMBERG HIGH YIELD BO,ETP,2022-06-20 16:06:23.705173,2022-06-20 16:06:23.705173,JNK US EQUITY
SPIB US EQUITY,USD,#A,SPDR PORT INT CORP BOND ETF,ETP,2022-06-20 16:06:25.227834,2022-06-20 16:06:25.227834,SPIB US EQUITY
IEI US EQUITY,USD,#A,ISHARES 3-7 YEAR TREASURY BO,ETP,2022-06-20 16:06:26.663932,2022-06-20 16:06:26.663932,IEI US EQUITY
