ticker,aum,expense,segment,name,issuer,return_ytd,return_5y,return_1y,return_1m,return_3y,return_10y,return_3m,flow_3y,flow_3m,flow_1y,flow_ytd,flow_1m
SPY,"405,720,000,000 ",0.09%,Equity: U.S. - Large Cap,SPDR S&P 500 ETF Trust,State Street Global Advisors,-8.75%,15.62%,14.44%,-7.91%,19.69%,14.83%,-4.61%,"$8,105.50M","$16,950.94M","$30,422.85M","-$11,163.37M","-$3,741.03M"
IVV,"304,280,000,000 ",0.03%,Equity: U.S. - Large Cap,iShares Core S&P 500 ETF,Blackrock,-8.71%,15.68%,14.52%,-7.87%,19.74%,14.90%,-4.58%,"$41,524.49M","$13,317.13M","$28,919.43M","-$1,971.17M",-$137.67M
VTI,"274,750,000,000 ",0.03%,Equity: U.S. - Total Market,Vanguard Total Stock Market ETF,Vanguard,-9.56%,15.01%,10.21%,-8.94%,18.88%,14.53%,-7.03%,"$95,231.79M","$14,531.54M","$45,533.06M","$3,712.48M","$4,660.71M"
VOO,"258,370,000,000 ",0.03%,Equity: U.S. - Large Cap,Vanguard S&P 500 ETF,Vanguard,-8.71%,15.68%,14.53%,-7.88%,19.75%,14.91%,-4.57%,"$82,288.97M","$6,564.62M","$47,777.91M","$2,399.78M","$3,983.86M"
QQQ,"186,890,000,000 ",0.20%,Equity: U.S. - Large Cap,Invesco QQQ Trust,Invesco,-13.39%,23.30%,5.37%,-13.19%,28.60%,20.25%,-9.00%,"$38,873.15M","$5,119.95M","$19,233.67M","-$5,414.03M","-$3,505.29M"
VTV,"92,300,000,000 ",0.04%,Equity: U.S. - Large Cap Value,Vanguard Value ETF,Vanguard,-2.94%,11.51%,20.27%,-1.58%,14.24%,12.94%,0.07%,"$26,524.00M","$3,843.22M","$16,383.98M","$1,951.24M","$2,229.05M"
AGG,"90,110,000,000 ",0.04%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",iShares Core U.S. Aggregate Bond ETF,Blackrock,-2.38%,3.00%,-3.56%,-2.49%,3.71%,2.53%,-2.25%,"$30,975.53M","$3,209.29M","$8,407.49M",-$314.28M,$5.27M
BND,"83,370,000,000 ",0.04%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",Vanguard Total Bond Market ETF,Vanguard,-2.43%,3.06%,-3.57%,-2.52%,3.82%,2.54%,-2.28%,"$46,281.89M","$2,593.33M","$17,459.60M",$779.80M,"$1,101.67M"
VUG,"77,670,000,000 ",0.04%,Equity: U.S. - Large Cap Growth,Vanguard Growth ETF,Vanguard,-14.47%,19.91%,5.68%,-14.25%,25.02%,16.76%,-11.16%,"$8,101.02M",$636.21M,"$4,758.56M",$304.45M,$358.22M
IJR,"70,560,000,000 ",0.06%,Equity: U.S. - Small Cap,iShares Core S&P Small-Cap ETF,Blackrock,-8.80%,10.20%,4.72%,-7.85%,13.01%,12.69%,-7.22%,"$11,343.61M","$3,928.37M","$4,882.96M",$658.36M,"$1,070.91M"
IWF,"67,060,000,000 ",0.19%,Equity: U.S. - Large Cap Growth,iShares Russell 1000 Growth ETF,Blackrock,-13.56%,20.55%,6.63%,-13.38%,24.58%,17.15%,-9.74%,"-$7,789.72M","-$1,723.25M","-$2,395.36M","-$1,383.90M","-$1,106.68M"
VIG,"63,970,000,000 ",0.06%,Equity: U.S. - Total Market,Vanguard Dividend Appreciation ETF,Vanguard,-7.78%,14.88%,14.11%,-6.18%,17.53%,13.12%,-3.26%,"$13,583.01M","$1,318.17M","$4,007.84M",-$679.92M,-$528.86M
IJH,"63,040,000,000 ",0.05%,Equity: U.S. - Mid Cap,iShares Core S&P Mid-Cap ETF,Blackrock,-9.58%,10.18%,7.08%,-8.08%,13.85%,12.26%,-7.74%,$361.80M,"$1,866.96M","$2,997.88M",$647.04M,$802.43M
IWM,"61,610,000,000 ",0.19%,Equity: U.S. - Small Cap,iShares Russell 2000 ETF,Blackrock,-11.90%,8.83%,-7.25%,-11.74%,11.32%,11.03%,-13.72%,"$6,331.22M",$224.23M,$976.59M,-$235.62M,-$961.99M
IWD,"56,630,000,000 ",0.19%,Equity: U.S. - Large Cap Value,iShares Russell 1000 Value ETF,Blackrock,-4.57%,9.60%,16.87%,-3.25%,13.29%,11.76%,-2.74%,"$4,542.26M","$1,246.15M","$5,197.28M","-$1,024.01M","-$1,015.06M"
VO,"52,060,000,000 ",0.04%,Equity: U.S. - Mid Cap,Vanguard Mid-Cap ETF,Vanguard,-11.29%,12.34%,8.12%,-10.24%,16.26%,13.01%,-10.16%,"$13,922.16M","$2,549.46M","$6,556.01M",$441.02M,$463.72M
VGT,"48,750,000,000 ",0.10%,Equity: U.S. Information Technology,Vanguard Information Technology ETF,Vanguard,-13.47%,26.69%,9.39%,-13.15%,31.68%,21.04%,-7.51%,"$7,670.74M",$261.49M,"$2,983.35M",$132.41M,$144.77M
XLF,"46,680,000,000 ",0.12%,Equity: U.S. Financials,Financial Select Sector SPDR Fund,State Street Global Advisors,-1.23%,12.40%,31.38%,-0.64%,16.50%,15.11%,-4.53%,"$11,035.30M","$3,502.81M","$8,138.21M","$2,748.62M","$3,794.83M"
VCIT,"46,020,000,000 ",0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",Vanguard Intermediate-Term Corporate Bond ETF,Vanguard,-2.79%,4.28%,-3.93%,-2.87%,5.52%,4.16%,-2.63%,"$24,215.76M","$2,158.00M","$4,926.37M",$2.32M,$2.13M
VNQ,"46,020,000,000 ",0.12%,Equity: U.S. Real Estate,Vanguard Real Estate ETF,Vanguard,-10.90%,8.52%,22.19%,-7.80%,12.53%,9.52%,-4.89%,"$7,976.52M","$2,145.30M","$6,378.68M",$950.29M,$543.34M
VB,"45,520,000,000 ",0.05%,Equity: U.S. - Small Cap,Vanguard Small-Cap ETF,Vanguard,-10.53%,10.40%,-0.49%,-9.76%,13.10%,12.13%,-11.72%,"$11,870.04M","$1,744.22M","$5,565.66M",$177.61M,$343.16M
XLK,"44,690,000,000 ",0.12%,Equity: U.S. Information Technology,Technology Select Sector SPDR Fund,State Street Global Advisors,-12.33%,26.28%,14.59%,-11.86%,33.65%,20.80%,-4.18%,"$2,097.74M",$186.12M,"$1,041.64M",-$584.00M,-$583.54M
ITOT,"42,650,000,000 ",0.03%,Equity: U.S. - Total Market,iShares Core S&P Total U.S. Stock Market ETF,Blackrock,-9.55%,14.93%,10.07%,-8.95%,18.80%,14.53%,-7.02%,"$12,838.35M","$1,189.44M","$6,220.55M",$278.00M,$466.27M
VYM,"42,200,000,000 ",0.06%,Equity: U.S. - High Dividend Yield,Vanguard High Dividend Yield ETF,Vanguard,-2.19%,10.99%,20.10%,-0.72%,13.96%,12.43%,1.52%,"$11,115.55M","$1,845.17M","$4,373.71M",$308.59M,$525.56M
BSV,"41,500,000,000 ",0.05%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",Vanguard Short-Term Bond ETF,Vanguard,-1.04%,1.95%,-2.03%,-1.03%,2.41%,1.51%,-1.27%,"$17,467.64M",-$312.47M,"$12,168.93M",-$240.65M,-$192.19M
VCSH,"41,290,000,000 ",0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",Vanguard Short-Term Corporate Bond ETF,Vanguard,-1.17%,2.61%,-1.66%,-1.14%,3.11%,2.46%,-1.40%,"$17,832.85M",-$393.68M,"$5,549.93M",-$8.94M,$39.86M
TIP,"37,000,000,000 ",0.19%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade",iShares TIPS Bond ETF,Blackrock,-3.06%,4.42%,2.23%,-2.32%,7.08%,2.49%,-2.47%,"$12,920.80M","$2,225.15M","$10,288.03M",-$811.84M,-$208.08M
LQD,"36,720,000,000 ",0.14%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",iShares iBoxx USD Investment Grade Corporate Bond ETF,Blackrock,-3.96%,4.80%,-4.45%,-4.09%,6.37%,4.33%,-3.72%,-$69.65M,"-$1,036.45M","-$13,795.07M",-$984.96M,-$308.70M
IVW,"34,320,000,000 ",0.18%,Equity: U.S. - Large Cap Growth,iShares S&P 500 Growth ETF,Blackrock,-13.05%,19.59%,10.50%,-12.77%,23.57%,16.87%,-7.83%,"-$3,838.58M",-$375.76M,"-$1,514.56M",-$980.31M,-$858.28M
XLV,"33,640,000,000 ",0.12%,Equity: U.S. Health Care,Health Care Select Sector SPDR Fund,State Street Global Advisors,-9.48%,14.97%,9.76%,-8.44%,14.84%,15.48%,-3.36%,"$6,769.11M","$3,828.94M","$5,233.59M","$1,137.90M","$1,177.80M"
XLE,"32,820,000,000 ",0.12%,Equity: U.S. Energy,Energy Select Sector SPDR Fund,State Street Global Advisors,17.48%,2.02%,67.51%,18.76%,7.36%,2.62%,11.69%,"$11,598.57M","$1,681.82M","$5,894.42M","$1,587.75M","$2,131.57M"
