ticker,expense,segment,issuer,name,aum,return_ytd,return_1m,return_3m,return_1y,return_3y,return_5y,return_10y,flow_ytd,flow_1m,flow_3m,flow_1y,flow_3y
RPAR,0.51%,Alternatives: Absolute Returns,Toroso Investments,RPAR Risk Parity ETF,1620,-5.42%,-4.86%,-4.71%,0.79%,--,--,--,$86.33M,$110.64M,$188.30M,$542.92M,"$1,515.36M"
QAI,0.79%,Alternatives: Absolute Returns,New York Life,IQ Hedge Multi-Strategy Tracker ETF,858,-3.08%,-2.78%,-3.90%,-4.61%,2.79%,2.60%,2.19%,$12.68M,$22.22M,$70.01M,$70.13M,-$515.01M
MNA,0.77%,Alternatives: Absolute Returns,New York Life,IQ Merger Arbitrage ETF,674,-2.33%,-2.17%,-4.55%,-5.49%,0.07%,1.73%,2.72%,$0.03M,$0.03M,-$24.16M,-$29.09M,-$145.70M
FTLS,1.60%,Alternatives: Absolute Returns,First Trust,First Trust Long/Short Equity ETF,453,-6.56%,-5.48%,-3.67%,6.31%,9.16%,7.49%,--,$18.34M,$18.34M,$38.61M,$114.10M,$198.02M
CCOR,1.09%,Alternatives: Absolute Returns,Core Alternative Capital,Core Alternative ETF,267,-2.57%,-1.84%,0.65%,8.33%,6.03%,--,--,$7.74M,$10.82M,$17.38M,$97.67M,$163.38M
RLY,0.50%,Alternatives: Absolute Returns,State Street Global Advisors,SPDR SSgA Multi-Asset Real Return ETF,205,1.63%,2.38%,0.01%,22.01%,10.32%,6.51%,--,$19.98M,$24.96M,$52.05M,$146.86M,$77.60M
WTMF,0.65%,Alternatives: Absolute Returns,WisdomTree,WisdomTree Managed Futures Strategy Fund,161,-3.58%,-3.53%,-5.43%,3.09%,1.45%,0.29%,-0.66%,$7.05M,$8.82M,$30.15M,$59.62M,-$61.95M
BTAL,2.53%,Alternatives: Absolute Returns,AGF,AGFiQ U.S. Market Neutral Anti-Beta Fund,137,5.62%,7.07%,12.39%,-2.49%,-3.48%,-0.06%,-1.34%,$22.31M,$20.56M,$18.42M,$7.94M,$136.38M
FAAR,0.95%,Alternatives: Absolute Returns,First Trust,First Trust Alternative Absolute Return Strategy ETF,127,3.00%,3.09%,-0.20%,14.70%,7.40%,3.23%,--,$7.26M,$7.26M,$13.57M,$60.38M,$103.15M
DALT,2.22%,Alternatives: Absolute Returns,Regents Park Funds,Anfield Diversified Alternatives ETF,65,-9.52%,-9.70%,-10.78%,-4.52%,2.38%,--,--,$1.51M,$2.03M,$2.30M,$0.40M,$29.91M
FMF,0.95%,Alternatives: Absolute Returns,First Trust,First Trust Managed Futures Strategy Fund,65,-0.83%,-0.95%,-3.73%,1.11%,1.58%,0.59%,--,$0.00M,$0.00M,$7.02M,$23.52M,$54.00M
MRGR,0.75%,Alternatives: Absolute Returns,ProShares,ProShares Merger ETF,64,-1.59%,-1.26%,-1.36%,3.57%,3.66%,3.38%,--,$0.00M,$0.00M,$11.31M,$55.27M,$57.11M
DBMF,0.85%,Alternatives: Absolute Returns,Litman Gregory Capital Partners LLC,iMGP DBi Managed Futures Strategy ETF,59,1.02%,-7.46%,-9.52%,-0.27%,--,--,--,$0.00M,$0.00M,$0.00M,$19.50M,$55.04M
EOPS,1.95%,Alternatives: Absolute Returns,Emles Advisors LLC,Emles Alpha Opportunities ETF,56,-7.79%,-6.34%,-21.98%,--,--,--,--,$1.12M,$1.12M,$1.43M,$71.00M,$71.00M
FLSP,0.65%,Alternatives: Absolute Returns,Franklin Templeton,Franklin Liberty Systematic Style Premia ETF,55,-1.84%,-1.68%,2.70%,7.15%,--,--,--,-$2.16M,-$2.16M,-$2.16M,$3.88M,$54.09M
GAA,0.41%,Alternatives: Absolute Returns,Cambria,Cambria Global Asset Allocation ETF,50,-3.05%,-1.93%,-3.85%,3.45%,9.10%,7.28%,--,$0.00M,$0.00M,$0.00M,$0.04M,-$19.19M
HDG,0.95%,Alternatives: Absolute Returns,ProShares,ProShares Hedge Replication ETF,47,-4.00%,-3.71%,-5.13%,-4.06%,4.20%,3.01%,2.43%,$2.00M,$2.00M,$4.05M,$17.56M,$5.58M
TRTY,0.44%,Alternatives: Absolute Returns,Cambria,Cambria Trinity ETF,46,-0.63%,-0.05%,-1.97%,10.48%,7.33%,--,--,$1.37M,$1.37M,$1.41M,$5.52M,$19.57M
MSVX,1.50%,Alternatives: Absolute Returns,Little Harbor Advisors,LHA Market State Alpha Seeker ETF,38,1.68%,1.91%,1.19%,6.41%,--,--,--,$10.17M,$10.17M,$10.17M,$19.18M,$38.39M
ALTY,0.50%,Alternatives: Absolute Returns,"Mirae Asset Global Investments Co., Ltd.",Global X Alternative Income ETF,38,-3.78%,-2.81%,-4.00%,15.00%,4.70%,4.52%,--,$2.38M,$2.38M,$6.46M,$14.33M,$24.72M
KMLM,0.90%,Alternatives: Absolute Returns,CICC,KFA Mount Lucas Index Strategy ETF,34,4.60%,-3.39%,-7.45%,3.41%,--,--,--,$1.36M,$1.35M,$4.21M,$5.72M,$32.31M
RAAX,0.78%,Alternatives: Absolute Returns,VanEck,VanEck Inflation Allocation ETF,34,-0.89%,0.22%,-3.52%,16.61%,5.37%,--,--,$3.75M,$3.75M,$13.08M,$18.31M,$23.86M
ASPY,0.95%,Alternatives: Absolute Returns,ASYMmetric ETFs,ASYMshares ASYMmetric S&P 500 ETF,30,-8.20%,-7.08%,-3.94%,--,--,--,--,$7.73M,$8.63M,$12.95M,$30.19M,$30.19M
VEGA,2.02%,Alternatives: Absolute Returns,AdvisorShares,AdvisorShares STAR Global Buy-Write ETF,29,-5.88%,-5.68%,-5.41%,3.65%,9.07%,7.11%,--,$0.78M,$0.37M,$10.57M,$15.89M,$10.88M
DBV,0.77%,Alternatives: Absolute Returns,Invesco,Invesco DB G10 Currency Harvest Fund,27,0.61%,-0.07%,-4.26%,2.41%,1.39%,0.08%,0.36%,$0.00M,$0.00M,$0.00M,$12.60M,$0.73M
PPI,0.71%,Alternatives: Absolute Returns,AXS Investments,AXS Astoria Inflation Sensitive ETF,27,0.93%,--,--,--,--,--,--,$26.87M,$26.87M,$26.87M,$26.87M,$26.87M
HTUS,0.97%,Alternatives: Absolute Returns,Exchange Traded Concepts,Hull Tactical U.S. ETF,25,-8.00%,-6.24%,-4.38%,14.45%,13.68%,9.73%,--,-$0.00M,-$0.00M,-$0.01M,-$1.60M,-$31.53M
CPI,0.38%,Alternatives: Absolute Returns,New York Life,IQ Real Return ETF,25,-0.82%,-0.83%,-0.70%,0.43%,1.39%,1.38%,1.04%,-$33.00M,-$33.00M,-$30.21M,-$27.46M,-$32.93M
