,expense,segment,aum,name_x,ticker,issuer,return_5y,return_10y,return_3y,return_1m,name_y,return_1y,return_3m,return_ytd,name,flow_1y,flow_3m,flow_ytd,flow_1m,flow_3y
0,0.09%,Equity: U.S. - Large Cap,$405.72B,SPDR S&P 500 ETF Trust,SPY,State Street Global Advisors,15.65%,14.80%,19.82%,-7.68%,SPDR S&P 500 ETF Trust,14.55%,-4.29%,-8.52%,SPDR S&P 500 ETF Trust,"$30,422.85M","$16,950.94M","-$11,163.37M","-$3,741.03M","$8,105.50M"
1,0.03%,Equity: U.S. - Large Cap,$304.28B,iShares Core S&P 500 ETF,IVV,Blackrock,15.73%,14.87%,19.86%,-7.66%,iShares Core S&P 500 ETF,14.62%,-4.25%,-8.50%,iShares Core S&P 500 ETF,"$28,919.43M","$13,317.13M","-$1,971.17M",-$137.67M,"$41,524.49M"
2,0.03%,Equity: U.S. - Total Market,$274.75B,Vanguard Total Stock Market ETF,VTI,Vanguard,15.07%,14.51%,19.06%,-8.59%,Vanguard Total Stock Market ETF,10.24%,-6.70%,-9.20%,Vanguard Total Stock Market ETF,"$45,533.06M","$14,531.54M","$3,712.48M","$4,660.71M","$95,231.79M"
3,0.03%,Equity: U.S. - Large Cap,$258.37B,Vanguard S&P 500 ETF,VOO,Vanguard,15.71%,14.88%,19.86%,-7.67%,Vanguard S&P 500 ETF,14.62%,-4.26%,-8.50%,Vanguard S&P 500 ETF,"$47,777.91M","$6,564.62M","$2,399.78M","$3,983.86M","$82,288.97M"
4,0.20%,Equity: U.S. - Large Cap,$186.89B,Invesco QQQ Trust,QQQ,Invesco,23.36%,20.23%,28.71%,-13.05%,Invesco QQQ Trust,5.69%,-8.57%,-13.26%,Invesco QQQ Trust,"$19,233.67M","$5,119.95M","-$5,414.03M","-$3,505.29M","$38,873.15M"
5,0.04%,Equity: U.S. - Large Cap Value,$92.30B,Vanguard Value ETF,VTV,Vanguard,11.62%,12.92%,14.45%,-1.09%,Vanguard Value ETF,20.51%,0.61%,-2.45%,Vanguard Value ETF,"$16,383.98M","$3,843.22M","$1,951.24M","$2,229.05M","$26,524.00M"
6,0.04%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",$90.11B,iShares Core U.S. Aggregate Bond ETF,AGG,Blackrock,3.13%,2.61%,3.91%,-1.94%,iShares Core U.S. Aggregate Bond ETF,-3.04%,-1.52%,-1.83%,iShares Core U.S. Aggregate Bond ETF,"$8,407.49M","$3,209.29M",-$314.28M,$5.27M,"$30,975.53M"
7,0.04%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",$83.37B,Vanguard Total Bond Market ETF,BND,Vanguard,3.18%,2.63%,4.02%,-1.98%,Vanguard Total Bond Market ETF,-3.04%,-1.54%,-1.89%,Vanguard Total Bond Market ETF,"$17,459.60M","$2,593.33M",$779.80M,"$1,101.67M","$46,281.89M"
8,0.04%,Equity: U.S. - Large Cap Growth,$77.67B,Vanguard Growth ETF,VUG,Vanguard,19.92%,16.71%,25.11%,-14.15%,Vanguard Growth ETF,5.65%,-10.91%,-14.36%,Vanguard Growth ETF,"$4,758.56M",$636.21M,$304.45M,$358.22M,"$8,101.02M"
9,0.06%,Equity: U.S. - Small Cap,$70.56B,iShares Core S&P Small-Cap ETF,IJR,Blackrock,10.43%,12.85%,13.62%,-6.38%,iShares Core S&P Small-Cap ETF,6.40%,-6.61%,-7.34%,iShares Core S&P Small-Cap ETF,"$4,882.96M","$3,928.37M",$658.36M,"$1,070.91M","$11,343.61M"
