Date,APPLE INC,MICROSOFT CORP,ALPHABET INC-CL A,ALPHABET INC-CL C,AMAZON.COM INC,TESLA INC,META PLATFORMS INC-CLASS A,BERKSHIRE HATHAWAY INC-CL B,NVIDIA CORP,VISA INC-CLASS A SHARES,UNITEDHEALTH GROUP INC,JOHNSON & JOHNSON,JPMORGAN CHASE & CO,PROCTER & GAMBLE CO/THE,WALMART INC,HOME DEPOT INC,BANK OF AMERICA CORP,MASTERCARD INC - A,EXXON MOBIL CORP,PFIZER INC,COCA-COLA CO/THE,WALT DISNEY CO/THE,CHEVRON CORP,PEPSICO INC,CISCO SYSTEMS INC,ADOBE INC,ABBVIE INC,ELI LILLY & CO,THERMO FISHER SCIENTIFIC INC,COMCAST CORP-CLASS A,NIKE INC -CL B,VERIZON COMMUNICATIONS INC,ABBOTT LABORATORIES,ACCENTURE PLC-CL A,BROADCOM INC,ORACLE CORP,SALESFORCE.COM INC,COSTCO WHOLESALE CORP,INTEL CORP,WELLS FARGO & CO,MERCK & CO. INC.,DANAHER CORP,PAYPAL HOLDINGS INC,MCDONALD'S CORP,AT&T INC,QUALCOMM INC,NETFLIX INC,UNITED PARCEL SERVICE-CL B,MORGAN STANLEY,SCHWAB (CHARLES) CORP
2001-01-02,0.228,13.6959,,,13.875,,,48.22,1.1459,,12.231,29.5243,23.5874,22.1635,36.3961,29.458,13.8728,,23.1231,20.8702,16.8868,21.7696,19.776,29.231,24.2557,23.227,,47.9003,23.954,10.2778,5.196,17.0893,13.1019,,,22.2415,,28.862,19.055,15.0422,39.864,11.8351,,19.622,16.4874,24.0057,,33.108,40.637,19.9772
2001-01-03,0.251,15.1365,,,17.563,,,46.7,1.4976,,11.868,28.5836,27.3377,21.0694,39.4784,33.256,14.8187,,22.1178,19.7107,16.4529,24.2047,19.0138,27.529,30.0807,28.795,,45.1846,23.698,10.7121,5.37,18.0671,12.8126,,,26.985,,29.913,21.0008,14.8156,38.203,12.0464,,19.732,16.6919,28.4723,,35.567,47.1516,25.1991
2001-01-04,0.261,15.2944,,,15.5,,,45.88,1.6698,,11.038,27.9685,28.0802,20.4165,37.9583,33.418,15.2823,,21.5016,18.9189,15.9843,24.8865,18.6111,26.271,30.4902,26.714,,42.469,23.979,10.5512,5.508,18.5985,11.6386,,,27.4593,,30.57,20.7324,14.5019,36.4348,11.8239,,19.329,16.9374,26.7365,,35.861,49.9687,22.9953
2001-01-05,0.251,15.5115,,,14.563,,,44.98,1.4198,,11.194,28.3303,26.4265,21.1577,36.4383,32.165,14.1695,,21.5989,19.1734,16.019,24.5456,18.7549,26.826,26.6676,25.595,,42.2399,22.831,10.4708,5.268,18.5559,11.7066,,,25.4038,,28.949,19.6684,14.6064,35.7115,11.5014,,19.292,16.3646,24.7466,,35.604,47.6798,22.7079
2001-01-08,0.254,15.4523,,,14.938,,,44.84,1.555,,11.155,28.2942,26.5952,21.6165,36.4383,30.831,14.3179,,21.5016,18.9472,16.2793,23.4742,18.7117,27.27,26.6107,24.632,,42.2727,22.426,10.4708,5.532,18.5808,11.5875,,,25.2457,,29.387,19.5918,14.467,35.7918,10.4113,,19.329,16.4892,26.3766,,35.861,46.9755,22.1809
2001-01-09,0.263,16.3601,,,16.375,,,44.0,1.5861,,11.271,28.4932,26.2915,21.0694,35.6361,29.66,13.947,,21.2746,19.5693,16.4876,23.4742,18.4672,27.677,27.0316,24.757,,44.2358,21.807,10.8568,5.706,19.0089,11.8427,,,26.5633,,29.3,19.7835,13.7872,36.0062,10.7784,,19.366,17.0855,24.8101,,35.824,46.4825,21.127
2001-01-10,0.254,16.6956,,,16.5,,,44.86,1.6962,,11.725,27.7514,27.5065,20.84,34.9183,30.67,14.4106,,21.0151,19.1451,16.4182,23.669,18.4385,27.233,26.3945,22.738,,43.6469,22.137,10.7121,5.58,19.2444,11.6383,,,27.6174,,28.511,20.2435,13.5781,35.6579,11.012,,19.439,17.2294,24.5349,,34.356,48.59,20.9353
2001-01-11,0.276,17.3666,,,17.0,,,43.4,1.8373,,11.492,26.7564,29.2277,20.5401,35.0872,31.72,14.6703,,21.2097,18.5512,15.9322,22.9872,18.7405,27.27,28.4879,23.887,,42.7307,23.269,10.9534,5.544,19.0945,11.5016,,,28.0918,,28.949,20.4736,13.7349,34.9881,11.3012,,19.146,17.2294,23.8998,,34.796,49.4375,22.4684
2001-01-12,0.263,16.8929,,,17.688,,,43.8025,1.799,,11.245,27.3715,28.789,19.8519,35.7627,31.761,14.559,,21.4854,18.7492,15.724,24.5943,18.6254,27.048,27.7143,25.067,,41.88,23.145,11.1745,5.418,19.0089,11.9118,,,27.2485,,30.175,19.7068,13.5781,34.9078,11.3456,,19.695,16.7565,24.3232,,34.613,48.0956,21.8456
2001-01-16,0.262,16.5969,,,18.063,,,44.54,1.6579,,11.142,27.263,28.7215,20.3107,36.945,31.599,15.1154,,21.2259,18.8623,15.8281,25.7632,18.6398,27.196,28.0328,25.285,,43.5814,23.128,11.4841,5.346,18.6236,12.3049,,,26.8268,,30.526,19.2467,13.9267,35.7115,11.3123,,19.988,16.4687,24.0268,,34.906,47.4246,21.4623
2001-01-17,0.257,16.7153,,,18.375,,,45.1,1.7177,,10.934,26.5393,28.6202,19.9134,36.4383,29.983,14.7074,,20.8206,18.4381,16.0884,26.0067,18.4672,26.863,28.3969,26.589,,42.698,23.128,11.1946,5.358,18.4737,12.0998,,,28.0391,,29.037,18.7099,13.7698,34.8274,11.0342,,20.317,16.5509,24.7254,,34.87,45.6943,21.6539
2001-01-18,0.286,17.5244,,,19.5,,,45.38,2.0472,,10.843,27.2087,27.7765,20.0908,35.8472,28.609,14.5219,,20.5287,18.6078,15.8628,25.8119,18.2803,26.641,30.4902,27.832,,42.7962,23.046,11.3072,5.382,19.0945,12.3219,,,28.5134,,29.037,19.7451,13.5083,35.5239,11.0898,,19.695,16.6331,24.7466,,35.383,45.2706,20.9832
2001-01-19,0.299,19.2611,,,19.938,,,44.84,1.9928,,10.701,27.2449,27.304,19.8425,34.3272,26.508,14.5961,,20.6098,18.7209,15.4984,25.471,18.2515,25.938,29.398,28.95,,42.2727,22.046,11.4037,5.034,18.9661,12.0485,,,29.1459,,28.336,20.5886,13.6826,35.3364,10.9563,,19.219,16.3453,23.8363,,35.237,47.6718,21.7018
2001-01-22,0.295,18.9848,,,18.5,,,44.84,1.9139,,11.479,27.2992,27.4727,19.612,35.5094,28.286,14.9485,,20.8206,19.0603,15.4636,24.2534,18.3234,25.938,30.1717,29.789,,42.7962,22.88,11.2268,5.082,18.4737,12.0827,,,26.8268,,29.606,20.4736,13.8395,35.2828,10.9563,,19.622,16.078,25.551,,35.42,47.3893,21.8456
2001-01-23,0.314,19.1229,,,18.953,,,44.72,2.1046,,12.14,26.8288,27.9115,19.7007,36.0583,28.932,14.9485,,21.2259,19.3996,15.7934,23.3768,18.309,25.568,31.0363,29.54,,43.516,22.418,10.9373,5.1,18.4309,12.0314,,,26.5501,,29.781,21.7005,13.8395,34.104,11.1677,,19.256,16.2219,26.2919,,35.787,49.049,21.2228
