EQID,CURRENCY,EXC_CODE,DESCRIPTION,TYPE,CREATED_DATE,UPDATED_DATE,BLCODE
DBE US Equity,USD,#A,INVESCO DB ENERGY FUND,ETP,2022-04-19 09:20:04.128916,2022-04-19 09:20:04.128916,DBE US Equity
IAU US Equity,USD,#A,ISHARES GOLD TRUST,ETP,2022-04-19 09:20:05.622260,2022-04-19 09:20:05.622260,IAU US Equity
SLV US Equity,USD,#A,ISHARES SILVER TRUST,ETP,2022-04-19 09:20:07.177066,2022-04-19 09:20:07.177066,SLV US Equity
AIA US Equity,USD,#A,ISHARES ASIA 50 ETF,ETP,2022-04-19 09:20:08.657571,2022-04-19 09:20:08.657571,AIA US Equity
VPL US Equity,USD,#A,VANGUARD FTSE PACIFIC ETF,ETP,2022-04-19 09:20:10.119974,2022-04-19 09:20:10.119974,VPL US Equity
VGK US Equity,USD,#A,VANGUARD FTSE EUROPE ETF,ETP,2022-04-19 09:20:11.579701,2022-04-19 09:20:11.579701,VGK US Equity
VWO US Equity,USD,#A,VANGUARD FTSE EMERGING MARKE,ETP,2022-04-19 09:20:13.017447,2022-04-19 09:20:13.017447,VWO US Equity
VXUS US Equity,USD,#A,VANGUARD TOTAL INTL STOCK,ETP,2022-04-19 09:20:14.482752,2022-04-19 09:20:14.482752,VXUS US Equity
RWO US Equity,USD,#A,SPDR DJ GLOBAL REAL ESTATE E,ETP,2022-04-19 09:20:16.022066,2022-04-19 09:20:16.022066,RWO US Equity
VOO US Equity,USD,#A,VANGUARD S&P 500 ETF,ETP,2022-04-19 09:20:17.526401,2022-04-19 09:20:17.526401,VOO US Equity
VO US Equity,USD,#A,VANGUARD MID-CAP ETF,ETP,2022-04-19 09:20:19.042366,2022-04-19 09:20:19.042366,VO US Equity
VB US Equity,USD,#A,VANGUARD SMALL-CAP ETF,ETP,2022-04-19 09:20:20.471467,2022-04-19 09:20:20.471467,VB US Equity
SCHH US Equity,USD,#A,SCHWAB US REIT ETF,ETP,2022-04-19 09:20:21.929105,2022-04-19 09:20:21.929105,SCHH US Equity
EMLC US Equity,USD,#A,VANECK JPM EM LOCAL CURR BND,ETP,2022-04-19 09:20:23.400986,2022-04-19 09:20:23.400986,EMLC US Equity
AGG US Equity,USD,#A,ISHARES CORE U.S. AGGREGATE,ETP,2022-04-19 09:20:24.976890,2022-04-19 09:20:24.976890,AGG US Equity
